datetime,value,uid,type
2025-05-25 00:06:00,0.75,681,light
2025-05-25 00:07:00,0.8125,681,light
2025-05-25 00:08:00,0.875,681,light
2025-05-25 00:09:00,0.9375,681,light
2025-05-25 00:10:00,1.0,681,light
2025-05-25 00:11:00,1.0,681,light
2025-05-25 00:12:00,1.0,681,light
2025-05-25 00:13:00,1.0,681,light
2025-05-25 00:14:00,1.0,681,light
2025-05-25 00:15:00,1.0,681,light
2025-05-25 00:16:00,1.0,681,light
2025-05-25 00:17:00,1.0,681,light
2025-05-25 00:18:00,1.0,681,light
2025-05-25 00:19:00,1.0,681,light
2025-05-25 00:20:00,1.0,681,light
2025-05-25 00:21:00,1.0,681,light
2025-05-25 00:22:00,1.0,681,light
2025-05-25 00:23:00,1.0,681,light
2025-05-25 00:24:00,1.0,681,light
2025-05-25 00:25:00,1.0,681,light
2025-05-25 00:26:00,2.875,681,light
2025-05-25 00:27:00,4.75,681,light
2025-05-25 00:28:00,6.625,681,light
2025-05-25 00:29:00,8.5,681,light
2025-05-25 00:30:00,10.375,681,light
2025-05-25 00:31:00,12.25,681,light
2025-05-25 00:32:00,14.125,681,light
2025-05-25 00:33:00,16.0,681,light
2025-05-25 00:34:00,17.875,681,light
2025-05-25 00:35:00,19.75,681,light
2025-05-25 00:36:00,21.625,681,light
2025-05-25 00:37:00,23.5,681,light
2025-05-25 00:38:00,25.375,681,light
2025-05-25 00:39:00,27.25,681,light
2025-05-25 00:40:00,29.125,681,light
2025-05-25 00:41:00,31.0,681,light
2025-05-25 00:42:00,30.205128205128204,681,light
2025-05-25 00:43:00,29.41025641025641,681,light
2025-05-25 00:44:00,28.615384615384617,681,light
2025-05-25 00:45:00,27.82051282051282,681,light
2025-05-25 00:46:00,27.025641025641026,681,light
2025-05-25 00:47:00,26.23076923076923,681,light
2025-05-25 00:48:00,25.435897435897438,681,light
2025-05-25 00:49:00,24.641025641025642,681,light
2025-05-25 00:50:00,23.846153846153847,681,light
2025-05-25 00:51:00,23.05128205128205,681,light
2025-05-25 00:52:00,22.256410256410255,681,light
2025-05-25 00:53:00,21.46153846153846,681,light
2025-05-25 00:54:00,20.666666666666668,681,light
2025-05-25 00:55:00,19.871794871794872,681,light
2025-05-25 00:56:00,19.07692307692308,681,light
2025-05-25 00:57:00,18.282051282051285,681,light
2025-05-25 00:58:00,17.48717948717949,681,light
2025-05-25 00:59:00,16.692307692307693,681,light
2025-05-25 01:00:00,15.897435897435898,681,light
2025-05-25 01:01:00,15.102564102564104,681,light
2025-05-25 01:02:00,14.30769230769231,681,light
2025-05-25 01:03:00,13.512820512820515,681,light
2025-05-25 01:04:00,12.717948717948719,681,light
2025-05-25 01:05:00,11.923076923076923,681,light
2025-05-25 01:06:00,11.128205128205128,681,light
2025-05-25 01:07:00,10.333333333333336,681,light
2025-05-25 01:08:00,9.53846153846154,681,light
2025-05-25 01:09:00,8.743589743589745,681,light
2025-05-25 01:10:00,7.948717948717949,681,light
2025-05-25 01:11:00,7.153846153846157,681,light
2025-05-25 01:12:00,6.358974358974361,681,light
2025-05-25 01:13:00,5.564102564102566,681,light
2025-05-25 01:14:00,4.76923076923077,681,light
2025-05-25 01:15:00,3.9743589743589745,681,light
2025-05-25 01:16:00,3.1794871794871824,681,light
2025-05-25 01:17:00,2.384615384615387,681,light
2025-05-25 01:18:00,1.5897435897435912,681,light
2025-05-25 01:19:00,0.7948717948717956,681,light
2025-05-25 01:20:00,0.0,681,light
2025-05-25 01:21:00,0.0,681,light
2025-05-25 01:22:00,0.0,681,light
2025-05-25 01:23:00,0.0,681,light
2025-05-25 01:24:00,0.0,681,light
2025-05-25 01:25:00,0.0,681,light
2025-05-25 01:26:00,0.0,681,light
2025-05-25 01:27:00,0.0,681,light
2025-05-25 01:28:00,0.0,681,light
2025-05-25 01:29:00,0.0,681,light
2025-05-25 01:30:00,0.0,681,light
2025-05-25 01:31:00,0.0,681,light
2025-05-25 01:32:00,0.0,681,light
2025-05-25 01:33:00,0.0,681,light
2025-05-25 01:34:00,0.0,681,light
2025-05-25 01:35:00,0.0,681,light
2025-05-25 01:36:00,0.0,681,light
2025-05-25 01:37:00,0.0,681,light
2025-05-25 01:38:00,0.0,681,light
2025-05-25 01:39:00,0.0,681,light
2025-05-25 01:40:00,0.0,681,light
2025-05-25 01:41:00,0.0,681,light
2025-05-25 01:42:00,0.0,681,light
2025-05-25 01:43:00,0.0,681,light
2025-05-25 01:44:00,0.0,681,light
2025-05-25 01:45:00,0.0,681,light
2025-05-25 01:46:00,0.0,681,light
2025-05-25 01:47:00,0.0,681,light
2025-05-25 01:48:00,0.0,681,light
2025-05-25 01:49:00,0.0,681,light
2025-05-25 01:50:00,0.0,681,light
2025-05-25 01:51:00,0.0,681,light
2025-05-25 01:52:00,0.0,681,light
2025-05-25 01:53:00,0.0,681,light
2025-05-25 01:54:00,0.0,681,light
2025-05-25 01:55:00,0.0,681,light
2025-05-25 01:56:00,0.0,681,light
2025-05-25 01:57:00,0.0,681,light
2025-05-25 01:58:00,0.0,681,light
2025-05-25 01:59:00,0.0,681,light
2025-05-25 02:00:00,0.0,681,light
2025-05-25 02:01:00,0.0,681,light
2025-05-25 02:02:00,0.0,681,light
2025-05-25 02:03:00,0.0,681,light
2025-05-25 02:04:00,0.0,681,light
2025-05-25 02:05:00,0.0,681,light
2025-05-25 02:06:00,0.0,681,light
2025-05-25 02:07:00,0.0,681,light
2025-05-25 02:08:00,0.0,681,light
2025-05-25 02:09:00,0.0,681,light
2025-05-25 02:10:00,0.0,681,light
2025-05-25 02:11:00,0.0,681,light
2025-05-25 02:12:00,0.0,681,light
2025-05-25 02:13:00,0.0,681,light
2025-05-25 02:14:00,0.0,681,light
2025-05-25 02:15:00,0.0,681,light
2025-05-25 02:16:00,0.0,681,light
2025-05-25 02:17:00,0.0,681,light
2025-05-25 02:18:00,0.0,681,light
2025-05-25 02:19:00,0.0,681,light
2025-05-25 02:20:00,0.0,681,light
2025-05-25 02:21:00,0.0,681,light
2025-05-25 02:22:00,0.0,681,light
2025-05-25 02:23:00,0.0,681,light
2025-05-25 02:24:00,0.0,681,light
2025-05-25 02:25:00,0.0,681,light
2025-05-25 02:26:00,0.0,681,light
2025-05-25 02:27:00,0.0,681,light
2025-05-25 02:28:00,0.0,681,light
2025-05-25 02:29:00,0.0,681,light
2025-05-25 02:30:00,0.0,681,light
2025-05-25 02:31:00,0.0,681,light
2025-05-25 02:32:00,0.0,681,light
2025-05-25 02:33:00,0.0,681,light
2025-05-25 02:34:00,0.0,681,light
2025-05-25 02:35:00,0.0,681,light
2025-05-25 02:36:00,0.0,681,light
2025-05-25 02:37:00,0.0,681,light
2025-05-25 02:38:00,0.0,681,light
2025-05-25 02:39:00,0.0,681,light
2025-05-25 02:40:00,0.0,681,light
2025-05-25 02:41:00,0.0,681,light
2025-05-25 02:42:00,0.0,681,light
2025-05-25 02:43:00,0.0,681,light
2025-05-25 02:44:00,0.0,681,light
2025-05-25 02:45:00,0.0,681,light
2025-05-25 02:46:00,0.0,681,light
2025-05-25 02:47:00,0.0,681,light
2025-05-25 02:48:00,0.0,681,light
2025-05-25 02:49:00,0.0,681,light
2025-05-25 02:50:00,0.0,681,light
2025-05-25 02:51:00,0.0,681,light
2025-05-25 02:52:00,0.0,681,light
2025-05-25 02:53:00,0.0,681,light
2025-05-25 02:54:00,0.0,681,light
2025-05-25 02:55:00,0.0,681,light
2025-05-25 02:56:00,0.0,681,light
2025-05-25 02:57:00,0.0,681,light
2025-05-25 02:58:00,0.0,681,light
2025-05-25 02:59:00,0.0,681,light
2025-05-25 03:00:00,0.0,681,light
2025-05-25 03:01:00,0.0,681,light
2025-05-25 03:02:00,0.0,681,light
2025-05-25 03:03:00,0.0,681,light
2025-05-25 03:04:00,0.0,681,light
2025-05-25 03:05:00,0.0,681,light
2025-05-25 03:06:00,0.0,681,light
2025-05-25 03:07:00,0.0,681,light
2025-05-25 03:08:00,0.0,681,light
2025-05-25 03:09:00,0.0,681,light
2025-05-25 03:10:00,0.0,681,light
2025-05-25 03:11:00,0.0,681,light
2025-05-25 03:12:00,0.0,681,light
2025-05-25 03:13:00,0.0,681,light
2025-05-25 03:14:00,0.0,681,light
2025-05-25 03:15:00,0.0,681,light
2025-05-25 03:16:00,0.0,681,light
2025-05-25 03:17:00,0.0,681,light
2025-05-25 03:18:00,0.0,681,light
2025-05-25 03:19:00,0.0,681,light
2025-05-25 03:20:00,0.0,681,light
2025-05-25 03:21:00,0.0,681,light
2025-05-25 03:22:00,0.0,681,light
2025-05-25 03:23:00,0.0,681,light
2025-05-25 03:24:00,0.0,681,light
2025-05-25 03:25:00,0.0,681,light
2025-05-25 03:26:00,0.0,681,light
2025-05-25 03:27:00,0.0,681,light
2025-05-25 03:28:00,0.0,681,light
2025-05-25 03:29:00,0.0,681,light
2025-05-25 03:30:00,0.0,681,light
2025-05-25 03:31:00,0.0,681,light
2025-05-25 03:32:00,0.0,681,light
2025-05-25 03:33:00,0.0,681,light
2025-05-25 03:34:00,0.0,681,light
2025-05-25 03:35:00,0.0,681,light
2025-05-25 03:36:00,0.0,681,light
2025-05-25 03:37:00,0.0,681,light
2025-05-25 03:38:00,0.0,681,light
2025-05-25 03:39:00,0.0,681,light
2025-05-25 03:40:00,0.0,681,light
2025-05-25 03:41:00,0.0,681,light
2025-05-25 03:42:00,0.0,681,light
2025-05-25 03:43:00,0.0,681,light
2025-05-25 03:44:00,0.0,681,light
2025-05-25 03:45:00,0.0,681,light
2025-05-25 03:46:00,0.0,681,light
2025-05-25 03:47:00,0.0,681,light
2025-05-25 03:48:00,0.0,681,light
2025-05-25 03:49:00,0.0,681,light
2025-05-25 03:50:00,0.0,681,light
2025-05-25 03:51:00,0.0,681,light
2025-05-25 03:52:00,0.0,681,light
2025-05-25 03:53:00,0.0,681,light
2025-05-25 03:54:00,0.0,681,light
2025-05-25 03:55:00,0.0,681,light
2025-05-25 03:56:00,0.0,681,light
2025-05-25 03:57:00,0.0,681,light
2025-05-25 03:58:00,0.0,681,light
2025-05-25 03:59:00,0.0,681,light
2025-05-25 04:00:00,0.0,681,light
2025-05-25 04:01:00,0.0,681,light
2025-05-25 04:02:00,0.0,681,light
2025-05-25 04:03:00,0.0,681,light
2025-05-25 04:04:00,0.0,681,light
2025-05-25 04:05:00,0.0,681,light
2025-05-25 04:06:00,0.0,681,light
2025-05-25 04:07:00,0.0,681,light
2025-05-25 04:08:00,0.0,681,light
2025-05-25 04:09:00,0.0,681,light
2025-05-25 04:10:00,0.0,681,light
2025-05-25 04:11:00,0.0,681,light
2025-05-25 04:12:00,0.0,681,light
2025-05-25 04:13:00,0.0,681,light
2025-05-25 04:14:00,0.0,681,light
2025-05-25 04:15:00,0.0,681,light
2025-05-25 04:16:00,0.0,681,light
2025-05-25 04:17:00,0.0,681,light
2025-05-25 04:18:00,0.0,681,light
2025-05-25 04:19:00,0.0,681,light
2025-05-25 04:20:00,0.0,681,light
2025-05-25 04:21:00,0.0,681,light
2025-05-25 04:22:00,0.0,681,light
2025-05-25 04:23:00,0.0,681,light
2025-05-25 04:24:00,0.0,681,light
2025-05-25 04:25:00,0.0,681,light
2025-05-25 04:26:00,0.0,681,light
2025-05-25 04:27:00,0.0,681,light
2025-05-25 04:28:00,0.0,681,light
2025-05-25 04:29:00,0.0,681,light
2025-05-25 04:30:00,0.0,681,light
2025-05-25 04:31:00,0.0,681,light
2025-05-25 04:32:00,0.0,681,light
2025-05-25 04:33:00,0.0,681,light
2025-05-25 04:34:00,0.0,681,light
2025-05-25 04:35:00,0.0,681,light
2025-05-25 04:36:00,0.0,681,light
2025-05-25 04:37:00,0.0,681,light
2025-05-25 04:38:00,0.0,681,light
2025-05-25 04:39:00,0.0,681,light
2025-05-25 04:40:00,0.0,681,light
2025-05-25 04:41:00,0.0,681,light
